P,0,0
F,0,0
O,0,1
Sn,0,0
K,0,0
S,0,2
Fe,-2,0
Cl,3,0
Zn,2,0
S,-1,0
O,-1,0
N,1,1
Cl,1,0
C,-1,0
N,1,2
Na,0,0
V,0,0
C,0,1
N,1,0
N,-1,1
Li,0,0
N,1,3
I,1,0
B,-1,0
N,0,0
Re,0,0
O,1,0
S,1,1
N,0,1
B,0,0
N,-2,0
N,0,3
F,0,1
O,0,0
S,0,0
O,0,2
Br,0,1
Ca,2,0
Se,0,0
Ru,0,0
P,0,1
B,-1,3
Fe,0,0
S,-1,1
C,1,0
C,0,0
Si,0,0
O,1,1
I,0,0
Hg,0,0
C,0,3
C,-1,1
Br,0,0
H,0,0
Na,1,0
I,0,1
Sb,0,0
Te,0,0
C,0,2
S,0,1
P,0,2
P,-1,0
Cl,0,0
P,1,0
C,-1,2
S,1,0
N,-1,0
